job_title,job_description,required_skills,experience,education,responsibilities,salary,benefits,quality_score,quality_label,issues,clean_description
Project Manager,We are seeking an experienced Project Manager to plan and deliver software projects on time and within budget.,"Project Management, Agile, Jira, Communication",4 years,BS Computer Science or Management,"Plan projects, manage teams, track deadlines, communicate with stakeholders and manage risks",150000-220000,"Health insurance, annual bonus, paid vacation",97,Good,,we are seeking an experienced project manager to plan and deliver software projects on time and within budget
Web Developer,We need someone to make websites.,Not specified,Not specified,Not specified,Make websites,Not specified,Not specified,35,Poor,"Skills, experience, education, salary and benefits missing",we need someone to make websites
Cybersecurity Analyst,We are hiring a Cybersecurity Analyst to monitor security threats and protect company systems and data.,"Network Security, SIEM, Linux, Python",2-3 years,BS Cybersecurity or Computer Science,"Monitor security alerts, investigate incidents, perform vulnerability assessments and prepare reports",110000-180000,"Health insurance, training budget, paid leave",96,Good,,we are hiring a cybersecurity analyst to monitor security threats and protect company systems and data
Database Administrator,We are looking for a Database Administrator to manage and maintain company databases.,"SQL, MySQL, PostgreSQL, Backup",2 years,BS Computer Science,"Manage databases, perform backups, monitor performance and troubleshoot database issues",100000-170000,"Medical insurance, annual bonus, paid leave",92,Good,,we are looking for a database administrator to manage and maintain company databases
Content Writer,Looking for a good writer who can write articles for our website.,"Writing, SEO",Not specified,Not specified,Write website articles and social media content,40000-70000,Not specified,62,Average,"Experience, education and benefits missing",looking for a good writer who can write articles for our website
UI UX Designer,We are seeking a UI/UX Designer to design user-friendly interfaces for web and mobile applications.,"Figma, UI Design, UX Research, Prototyping",2 years,BS Design or Computer Science,"Design wireframes, prototypes and interfaces, conduct user research and collaborate with developers",80000-130000,"Health insurance, flexible hours, paid leave",94,Good,,we are seeking a ui ux designer to design user friendly interfaces for web and mobile applications
Accountant,We are hiring an Accountant to manage financial records and prepare monthly reports.,"Excel, Accounting, QuickBooks",2 years,Bachelors in Accounting or Finance,"Maintain financial records, prepare reports, reconcile accounts and support audits",70000-110000,"Health insurance, paid leave, annual bonus",91,Good,,we are hiring an accountant to manage financial records and prepare monthly reports
Intern,We need an intern for our company.,Computer skills,Not specified,Not specified,Help employees with different tasks,20000-30000,Not specified,50,Poor,"Role is unclear, experience and education requirements missing, benefits missing",we need an intern for our company
Data Scientist,"We are looking for a Data Scientist to join our team. The successful candidate will use Python, Pandas, Scikit-learn to support our projects and business goals. Candidates should have 2-3 years of relevant experience and a BS Data Science. Strong communication, problem-solving, and teamwork skills are expected.","Python, Pandas, Scikit-learn, SQL",2-3 years,BS Data Science,"Manage records, prepare reports, monitor processes, and ensure accurate documentation.",60000-100000,"Medical insurance, flexible hours, paid vacation",86,Good,,we are looking for a data scientist to join our team the successful candidate will use python pandas scikit learn to support our projects and business goals candidates should have 2 3 years of relevant experience and a bs data science strong communication problem solving and teamwork skills are expected
Content Writer,"We are looking for a Content Writer to join our team. The successful candidate will use Writing, SEO, Research to support our projects and business goals. Candidates should have 3 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","Writing, SEO, Research",3 years,Bachelor degree,"Analyze data, prepare reports, communicate findings, and support business decisions.",50000-80000,"Health insurance, paid leave, annual bonus",88,Good,,we are looking for a content writer to join our team the successful candidate will use writing seo research to support our projects and business goals candidates should have 3 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Network Administrator,"We are hiring a Network Administrator. The candidate should have knowledge of Networking, Cisco. The role involves supporting company projects and completing assigned tasks.","Networking, Cisco, TCP/IP, Linux",Not specified,BS Computer Science,"Create user-focused designs, review feedback, and collaborate with developers.",60000-100000,Not specified,67,Average,Salary information missing,we are hiring a network administrator the candidate should have knowledge of networking cisco the role involves supporting company projects and completing assigned tasks
Business Analyst,"We are looking for a Business Analyst to join our team. The successful candidate will use SQL, Excel, Requirements Analysis to support our projects and business goals. Candidates should have 1 year of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","SQL, Excel, Requirements Analysis",1 year,Bachelor degree,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",60000-120000,"Paid leave, training budget, performance bonus",87,Good,,we are looking for a business analyst to join our team the successful candidate will use sql excel requirements analysis to support our projects and business goals candidates should have 1 year of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
UI UX Designer,Looking for someone for a UI UX Designer position. Good opportunity.,"Figma, UI Design, UX Research, Prototyping",Not specified,Not specified,Not specified,Not specified,Not specified,23,Poor,"Skills, experience, education, responsibilities and salary missing",looking for someone for a ui ux designer position good opportunity
Customer Support Representative,"We are looking for a Customer Support Representative to join our team. The successful candidate will use Communication, CRM, Problem Solving to support our projects and business goals. Candidates should have 2-3 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","Communication, CRM, Problem Solving",2-3 years,Bachelor degree,"Manage records, prepare reports, monitor processes, and ensure accurate documentation.",90000-140000,"Health insurance, paid leave, annual bonus",92,Good,,we are looking for a customer support representative to join our team the successful candidate will use communication crm problem solving to support our projects and business goals candidates should have 2 3 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Content Writer,"We are looking for a Content Writer to join our team. The successful candidate will use Writing, SEO, Research to support our projects and business goals. Candidates should have 3 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","Writing, SEO, Research",3 years,Bachelor degree,"Support customers, resolve queries, document interactions, and maintain service quality.",50000-100000,"Paid leave, training budget, performance bonus",88,Good,,we are looking for a content writer to join our team the successful candidate will use writing seo research to support our projects and business goals candidates should have 3 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Data Analyst,"We are looking for a Data Analyst to join our team. The successful candidate will use Python, SQL, Excel to support our projects and business goals. Candidates should have 2 years of relevant experience and a BS Data Science. Strong communication, problem-solving, and teamwork skills are expected.","Python, SQL, Excel, Power BI",2 years,BS Data Science,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",70000-100000,"Medical insurance, flexible hours, paid vacation",91,Good,,we are looking for a data analyst to join our team the successful candidate will use python sql excel to support our projects and business goals candidates should have 2 years of relevant experience and a bs data science strong communication problem solving and teamwork skills are expected
Project Manager,"We are hiring a Project Manager. The candidate should have knowledge of Agile, Jira. The role involves supporting company projects and completing assigned tasks.","Agile, Jira, Communication, Risk Management",2 years,BS Management,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",60000-100000,"Paid leave, training budget, performance bonus",66,Average,Experience requirement unclear,we are hiring a project manager the candidate should have knowledge of agile jira the role involves supporting company projects and completing assigned tasks
Data Analyst,"We are hiring a Data Analyst. The candidate should have knowledge of Python, SQL. The role involves supporting company projects and completing assigned tasks.","Python, SQL, Excel, Power BI",1 year,BS Data Science,"Analyze data, prepare reports, communicate findings, and support business decisions.",Not specified,"Medical insurance, flexible hours, paid vacation",74,Average,Salary information missing,we are hiring a data analyst the candidate should have knowledge of python sql the role involves supporting company projects and completing assigned tasks
Project Manager,We need a person who can do Project Manager work. Contact us.,"Agile, Jira, Communication, Risk Management",Not specified,Not specified,Not specified,Not specified,Not specified,42,Poor,"Experience, education, salary and benefits missing",we need a person who can do project manager work contact us
Graphic Designer,"We are hiring a Graphic Designer. The candidate should have knowledge of Photoshop, Illustrator. The role involves supporting company projects and completing assigned tasks.","Photoshop, Illustrator, Canva",1 year,Bachelor degree,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",60000-100000,"Health insurance, paid leave, annual bonus",72,Average,Experience requirement unclear,we are hiring a graphic designer the candidate should have knowledge of photoshop illustrator the role involves supporting company projects and completing assigned tasks
Data Analyst,"We are looking for a Data Analyst to join our team. The successful candidate will use Python, SQL, Excel to support our projects and business goals. Candidates should have 3-5 years of relevant experience and a BS Data Science. Strong communication, problem-solving, and teamwork skills are expected.","Python, SQL, Excel, Power BI",3-5 years,BS Data Science,"Manage records, prepare reports, monitor processes, and ensure accurate documentation.",100000-150000,"Medical insurance, flexible hours, paid vacation",92,Good,,we are looking for a data analyst to join our team the successful candidate will use python sql excel to support our projects and business goals candidates should have 3 5 years of relevant experience and a bs data science strong communication problem solving and teamwork skills are expected
Customer Support Representative,We need a person who can do Customer Support Representative work. Contact us.,"Communication, CRM, Problem Solving",Not specified,Not specified,Not specified,Not specified,Not specified,34,Poor,"Skills, experience, education, responsibilities and salary missing",we need a person who can do customer support representative work contact us
Project Manager,"We are looking for a Project Manager to join our team. The successful candidate will use Agile, Jira, Communication to support our projects and business goals. Candidates should have 5 years of relevant experience and a BS Management. Strong communication, problem-solving, and teamwork skills are expected.","Agile, Jira, Communication, Risk Management",5 years,BS Management,"Support customers, resolve queries, document interactions, and maintain service quality.",90000-140000,"Health insurance, annual bonus, professional development",91,Good,,we are looking for a project manager to join our team the successful candidate will use agile jira communication to support our projects and business goals candidates should have 5 years of relevant experience and a bs management strong communication problem solving and teamwork skills are expected
Sales Executive,"We are looking for a Sales Executive to join our team. The successful candidate will use Sales, CRM, Communication to support our projects and business goals. Candidates should have 2 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","Sales, CRM, Communication, Negotiation",2 years,Bachelor degree,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",90000-150000,"Health insurance, paid leave, annual bonus",98,Good,,we are looking for a sales executive to join our team the successful candidate will use sales crm communication to support our projects and business goals candidates should have 2 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Data Scientist,"We are looking for a Data Scientist to join our team. The successful candidate will use Python, Pandas, Scikit-learn to support our projects and business goals. Candidates should have 2 years of relevant experience and a BS Data Science. Strong communication, problem-solving, and teamwork skills are expected.","Python, Pandas, Scikit-learn, SQL",2 years,BS Data Science,"Create user-focused designs, review feedback, and collaborate with developers.",100000-160000,"Health insurance, paid leave, annual bonus",91,Good,,we are looking for a data scientist to join our team the successful candidate will use python pandas scikit learn to support our projects and business goals candidates should have 2 years of relevant experience and a bs data science strong communication problem solving and teamwork skills are expected
Teacher,We need a person who can do Teacher work. Contact us.,"Teaching, Communication, Lesson Planning",Not specified,Not specified,Not specified,Not specified,Not specified,28,Poor,"Experience, education, salary and benefits missing",we need a person who can do teacher work contact us
Software Developer,"We are hiring a Software Developer. The candidate should have knowledge of Python, Java. The role involves supporting company projects and completing assigned tasks.","Python, Java, C++, Git",1 year,BS Computer Science,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",Not specified,Not specified,70,Average,Education requirement missing,we are hiring a software developer the candidate should have knowledge of python java the role involves supporting company projects and completing assigned tasks
HR Manager,"We are looking for a HR Manager to join our team. The successful candidate will use Recruitment, HR Management, Communication to support our projects and business goals. Candidates should have 3 years of relevant experience and a BS Human Resources. Strong communication, problem-solving, and teamwork skills are expected.","Recruitment, HR Management, Communication",3 years,BS Human Resources,"Support customers, resolve queries, document interactions, and maintain service quality.",50000-100000,"Medical insurance, flexible hours, paid vacation",86,Good,,we are looking for a hr manager to join our team the successful candidate will use recruitment hr management communication to support our projects and business goals candidates should have 3 years of relevant experience and a bs human resources strong communication problem solving and teamwork skills are expected
HR Manager,We need a person who can do HR Manager work. Contact us.,"Recruitment, HR Management, Communication",Not specified,Not specified,Not specified,Not specified,Not specified,39,Poor,"Skills, experience, education, responsibilities and salary missing",we need a person who can do hr manager work contact us
Machine Learning Engineer,"We are looking for a Machine Learning Engineer to join our team. The successful candidate will use Python, TensorFlow, Scikit-learn to support our projects and business goals. Candidates should have 2 years of relevant experience and a BS Computer Science. Strong communication, problem-solving, and teamwork skills are expected.","Python, TensorFlow, Scikit-learn, SQL",2 years,BS Computer Science,"Create user-focused designs, review feedback, and collaborate with developers.",90000-120000,"Paid leave, training budget, performance bonus",85,Good,,we are looking for a machine learning engineer to join our team the successful candidate will use python tensorflow scikit learn to support our projects and business goals candidates should have 2 years of relevant experience and a bs computer science strong communication problem solving and teamwork skills are expected
Data Scientist,Looking for someone for a Data Scientist position. Good opportunity.,"Python, Pandas, Scikit-learn, SQL",Not specified,Not specified,Not specified,Not specified,Not specified,27,Poor,"Skills, experience, education, responsibilities and salary missing",looking for someone for a data scientist position good opportunity
Graphic Designer,We need a hardworking Graphic Designer. Apply now.,"Photoshop, Illustrator, Canva",Not specified,Not specified,Not specified,Not specified,Not specified,22,Poor,"Experience, education, salary and benefits missing",we need a hardworking graphic designer apply now
Mobile App Developer,We need a person who can do Mobile App Developer work. Contact us.,"Kotlin, Java, Android Studio",Not specified,Not specified,Not specified,Not specified,Not specified,44,Poor,"Skills, experience, education, responsibilities and salary missing",we need a person who can do mobile app developer work contact us
Machine Learning Engineer,"We are hiring a Machine Learning Engineer. The candidate should have knowledge of Python, TensorFlow. The role involves supporting company projects and completing assigned tasks.","Python, TensorFlow, Scikit-learn, SQL",Not specified,BS Computer Science,"Support customers, resolve queries, document interactions, and maintain service quality.",60000-100000,"Paid leave, training budget, performance bonus",79,Average,Salary information missing,we are hiring a machine learning engineer the candidate should have knowledge of python tensorflow the role involves supporting company projects and completing assigned tasks
UI UX Designer,We need a person who can do UI UX Designer work. Contact us.,"Figma, UI Design, UX Research, Prototyping",Not specified,Not specified,Not specified,Not specified,Not specified,42,Poor,"Skills, experience, education, responsibilities and salary missing",we need a person who can do ui ux designer work contact us
HR Manager,"We are looking for a HR Manager to join our team. The successful candidate will use Recruitment, HR Management, Communication to support our projects and business goals. Candidates should have 5 years of relevant experience and a BS Human Resources. Strong communication, problem-solving, and teamwork skills are expected.","Recruitment, HR Management, Communication",5 years,BS Human Resources,"Support customers, resolve queries, document interactions, and maintain service quality.",100000-150000,"Health insurance, annual bonus, professional development",92,Good,,we are looking for a hr manager to join our team the successful candidate will use recruitment hr management communication to support our projects and business goals candidates should have 5 years of relevant experience and a bs human resources strong communication problem solving and teamwork skills are expected
Data Scientist,"We are looking for a Data Scientist to join our team. The successful candidate will use Python, Pandas, Scikit-learn to support our projects and business goals. Candidates should have 1 year of relevant experience and a BS Data Science. Strong communication, problem-solving, and teamwork skills are expected.","Python, Pandas, Scikit-learn, SQL",1 year,BS Data Science,"Support customers, resolve queries, document interactions, and maintain service quality.",70000-100000,"Medical insurance, flexible hours, paid vacation",88,Good,,we are looking for a data scientist to join our team the successful candidate will use python pandas scikit learn to support our projects and business goals candidates should have 1 year of relevant experience and a bs data science strong communication problem solving and teamwork skills are expected
Software Developer,"We are looking for a Software Developer to join our team. The successful candidate will use Python, Java, C++ to support our projects and business goals. Candidates should have 5 years of relevant experience and a BS Computer Science. Strong communication, problem-solving, and teamwork skills are expected.","Python, Java, C++, Git",5 years,BS Computer Science,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",50000-90000,"Health insurance, paid leave, annual bonus",98,Good,,we are looking for a software developer to join our team the successful candidate will use python java c to support our projects and business goals candidates should have 5 years of relevant experience and a bs computer science strong communication problem solving and teamwork skills are expected
Marketing Manager,"We are looking for a Marketing Manager to join our team. The successful candidate will use SEO, Google Ads, Analytics to support our projects and business goals. Candidates should have 2 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","SEO, Google Ads, Analytics, Communication",2 years,Bachelor degree,"Support customers, resolve queries, document interactions, and maintain service quality.",70000-130000,"Medical insurance, flexible hours, paid vacation",87,Good,,we are looking for a marketing manager to join our team the successful candidate will use seo google ads analytics to support our projects and business goals candidates should have 2 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Business Analyst,"We are hiring a Business Analyst. The candidate should have knowledge of SQL, Excel. The role involves supporting company projects and completing assigned tasks.","SQL, Excel, Requirements Analysis",1 year,Bachelor degree,"Analyze data, prepare reports, communicate findings, and support business decisions.",80000-130000,"Health insurance, annual bonus, professional development",63,Average,Education requirement missing,we are hiring a business analyst the candidate should have knowledge of sql excel the role involves supporting company projects and completing assigned tasks
Accountant,"We are looking for a Accountant to join our team. The successful candidate will use Excel, Accounting, QuickBooks to support our projects and business goals. Candidates should have 3 years of relevant experience and a BS Accounting. Strong communication, problem-solving, and teamwork skills are expected.","Excel, Accounting, QuickBooks",3 years,BS Accounting,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",80000-110000,"Health insurance, paid leave, annual bonus",91,Good,,we are looking for a accountant to join our team the successful candidate will use excel accounting quickbooks to support our projects and business goals candidates should have 3 years of relevant experience and a bs accounting strong communication problem solving and teamwork skills are expected
Marketing Manager,We need a hardworking Marketing Manager. Apply now.,"SEO, Google Ads, Analytics, Communication",Not specified,Not specified,Not specified,Not specified,Not specified,27,Poor,"Skills, experience, education, responsibilities and salary missing",we need a hardworking marketing manager apply now
UI UX Designer,"We are hiring a UI UX Designer. The candidate should have knowledge of Figma, UI Design. The role involves supporting company projects and completing assigned tasks.","Figma, UI Design, UX Research, Prototyping",1 year,BS Design,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",80000-130000,"Medical insurance, flexible hours, paid vacation",74,Average,Benefits information missing,we are hiring a ui ux designer the candidate should have knowledge of figma ui design the role involves supporting company projects and completing assigned tasks
Data Analyst,"We are looking for a Data Analyst to join our team. The successful candidate will use Python, SQL, Excel to support our projects and business goals. Candidates should have 3-5 years of relevant experience and a BS Data Science. Strong communication, problem-solving, and teamwork skills are expected.","Python, SQL, Excel, Power BI",3-5 years,BS Data Science,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",50000-80000,"Health insurance, paid leave, annual bonus",97,Good,,we are looking for a data analyst to join our team the successful candidate will use python sql excel to support our projects and business goals candidates should have 3 5 years of relevant experience and a bs data science strong communication problem solving and teamwork skills are expected
Graphic Designer,"We are looking for a Graphic Designer to join our team. The successful candidate will use Photoshop, Illustrator, Canva to support our projects and business goals. Candidates should have 3 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","Photoshop, Illustrator, Canva",3 years,Bachelor degree,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",80000-120000,"Health insurance, annual bonus, professional development",87,Good,,we are looking for a graphic designer to join our team the successful candidate will use photoshop illustrator canva to support our projects and business goals candidates should have 3 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Customer Support Representative,"We are looking for a Customer Support Representative to join our team. The successful candidate will use Communication, CRM, Problem Solving to support our projects and business goals. Candidates should have 3 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","Communication, CRM, Problem Solving",3 years,Bachelor degree,"Create user-focused designs, review feedback, and collaborate with developers.",70000-130000,"Paid leave, training budget, performance bonus",96,Good,,we are looking for a customer support representative to join our team the successful candidate will use communication crm problem solving to support our projects and business goals candidates should have 3 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Content Writer,"We are hiring a Content Writer. The candidate should have knowledge of Writing, SEO. The role involves supporting company projects and completing assigned tasks.","Writing, SEO, Research",2 years,Bachelor degree,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",60000-100000,"Medical insurance, flexible hours, paid vacation",66,Average,Education requirement missing,we are hiring a content writer the candidate should have knowledge of writing seo the role involves supporting company projects and completing assigned tasks
Business Analyst,"We are hiring a Business Analyst. The candidate should have knowledge of SQL, Excel. The role involves supporting company projects and completing assigned tasks.","SQL, Excel, Requirements Analysis",1 year,Bachelor degree,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",Not specified,"Paid leave, training budget, performance bonus",61,Average,Responsibilities are limited,we are hiring a business analyst the candidate should have knowledge of sql excel the role involves supporting company projects and completing assigned tasks
Mobile App Developer,"We are hiring a Mobile App Developer. The candidate should have knowledge of Kotlin, Java. The role involves supporting company projects and completing assigned tasks.","Kotlin, Java, Android Studio",Not specified,BS Computer Science,"Support customers, resolve queries, document interactions, and maintain service quality.",60000-100000,"Health insurance, paid leave, annual bonus",62,Average,Benefits information missing,we are hiring a mobile app developer the candidate should have knowledge of kotlin java the role involves supporting company projects and completing assigned tasks
Data Analyst,"We are hiring a Data Analyst. The candidate should have knowledge of Python, SQL. The role involves supporting company projects and completing assigned tasks.","Python, SQL, Excel, Power BI",Not specified,BS Data Science,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",60000-100000,"Health insurance, annual bonus, professional development",78,Average,Benefits information missing,we are hiring a data analyst the candidate should have knowledge of python sql the role involves supporting company projects and completing assigned tasks
Business Analyst,"We are hiring a Business Analyst. The candidate should have knowledge of SQL, Excel. The role involves supporting company projects and completing assigned tasks.","SQL, Excel, Requirements Analysis",Not specified,Bachelor degree,"Manage records, prepare reports, monitor processes, and ensure accurate documentation.",60000-100000,"Health insurance, annual bonus, professional development",78,Average,Responsibilities are limited,we are hiring a business analyst the candidate should have knowledge of sql excel the role involves supporting company projects and completing assigned tasks
Network Administrator,"We are looking for a Network Administrator to join our team. The successful candidate will use Networking, Cisco, TCP/IP to support our projects and business goals. Candidates should have 2-3 years of relevant experience and a BS Computer Science. Strong communication, problem-solving, and teamwork skills are expected.","Networking, Cisco, TCP/IP, Linux",2-3 years,BS Computer Science,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",60000-110000,"Medical insurance, flexible hours, paid vacation",91,Good,,we are looking for a network administrator to join our team the successful candidate will use networking cisco tcp ip to support our projects and business goals candidates should have 2 3 years of relevant experience and a bs computer science strong communication problem solving and teamwork skills are expected
Machine Learning Engineer,"We are hiring a Machine Learning Engineer. The candidate should have knowledge of Python, TensorFlow. The role involves supporting company projects and completing assigned tasks.","Python, TensorFlow, Scikit-learn, SQL",2 years,BS Computer Science,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",80000-130000,"Paid leave, training budget, performance bonus",60,Average,Salary information missing,we are hiring a machine learning engineer the candidate should have knowledge of python tensorflow the role involves supporting company projects and completing assigned tasks
Teacher,We need a hardworking Teacher. Apply now.,"Teaching, Communication, Lesson Planning",Not specified,Not specified,Not specified,Not specified,Not specified,22,Poor,"Experience, education, salary and benefits missing",we need a hardworking teacher apply now
UI UX Designer,"We are hiring a UI UX Designer. The candidate should have knowledge of Figma, UI Design. The role involves supporting company projects and completing assigned tasks.","Figma, UI Design, UX Research, Prototyping",1 year,BS Design,"Analyze data, prepare reports, communicate findings, and support business decisions.",80000-130000,"Health insurance, paid leave, annual bonus",71,Average,Experience requirement unclear,we are hiring a ui ux designer the candidate should have knowledge of figma ui design the role involves supporting company projects and completing assigned tasks
Cybersecurity Analyst,"We are looking for a Cybersecurity Analyst to join our team. The successful candidate will use Network Security, Linux, SIEM to support our projects and business goals. Candidates should have 3-5 years of relevant experience and a BS Cybersecurity. Strong communication, problem-solving, and teamwork skills are expected.","Network Security, Linux, SIEM, Python",3-5 years,BS Cybersecurity,"Manage records, prepare reports, monitor processes, and ensure accurate documentation.",100000-150000,"Health insurance, paid leave, annual bonus",98,Good,,we are looking for a cybersecurity analyst to join our team the successful candidate will use network security linux siem to support our projects and business goals candidates should have 3 5 years of relevant experience and a bs cybersecurity strong communication problem solving and teamwork skills are expected
Content Writer,"We are looking for a Content Writer to join our team. The successful candidate will use Writing, SEO, Research to support our projects and business goals. Candidates should have 5 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","Writing, SEO, Research",5 years,Bachelor degree,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",50000-90000,"Paid leave, training budget, performance bonus",86,Good,,we are looking for a content writer to join our team the successful candidate will use writing seo research to support our projects and business goals candidates should have 5 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Content Writer,"We are looking for a Content Writer to join our team. The successful candidate will use Writing, SEO, Research to support our projects and business goals. Candidates should have 2-3 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","Writing, SEO, Research",2-3 years,Bachelor degree,"Analyze data, prepare reports, communicate findings, and support business decisions.",90000-130000,"Paid leave, training budget, performance bonus",95,Good,,we are looking for a content writer to join our team the successful candidate will use writing seo research to support our projects and business goals candidates should have 2 3 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Project Manager,"We are hiring a Project Manager. The candidate should have knowledge of Agile, Jira. The role involves supporting company projects and completing assigned tasks.","Agile, Jira, Communication, Risk Management",2 years,BS Management,"Manage records, prepare reports, monitor processes, and ensure accurate documentation.",60000-100000,"Health insurance, paid leave, annual bonus",73,Average,Experience requirement unclear,we are hiring a project manager the candidate should have knowledge of agile jira the role involves supporting company projects and completing assigned tasks
